question_id,question,difficulty,chunk_id,chapter,section,justification
Q01,Qual é a diferença entre divisão convencional e divisão inteira em Python?,facil,chap01-c0043,1,Operadores aritméticos,Explica a característica de arredondamento da divisão inteira. Ademais informa o segundo nome da divisão inteira: divisão de piso (floor division).
Q01,Qual é a diferença entre divisão convencional e divisão inteira em Python?,facil,chap01-c0041,1,Operadores aritméticos,Explica que a divisão convencional de inteiros produz ponto flutuante e que o resultado da divisão inteira é inteiro.
Q01,Qual é a diferença entre divisão convencional e divisão inteira em Python?,facil,chap05-c0423,1,Operadores aritméticos,"Retoma a divisão inteira, explica que ela arredonda para baixo e a compara com a divisão convencional em um exemplo de duração de filme."
Q01,Qual é a diferença entre divisão convencional e divisão inteira em Python?,facil,chap05-c0425,1,Operadores aritméticos,"Mostra que a divisão inteira devolve o número inteiro de horas, arredondando o resultado para baixo."
Q01,Qual é a diferença entre divisão convencional e divisão inteira em Python?,facil,chap05-c0516,1,Operadores aritméticos,Explica um erro comum ao usar divisão inteira quando a divisão de ponto flutuante era necessária.
Q01,Qual é a diferença entre divisão convencional e divisão inteira em Python?,facil,chap01-c0039,1,Operadores aritméticos,Explica que a barra é o operador usado para realizar a divisão convencional.
Q02,Como os parênteses alteram a ordem de operações em uma expressão?,facil,chap01-c0052,1,Expressões,"Explica a ordem padrão de precedência das operações em Python: exponenciação antes de multiplicação e divisão, que vêm antes de adição e subtração."
Q02,Como os parênteses alteram a ordem de operações em uma expressão?,facil,chap01-c0054,1,Expressões,"Explica diretamente que parênteses podem ser usados para fazer uma operação, como a adição, acontecer antes das demais."
Q02,Como os parênteses alteram a ordem de operações em uma expressão?,facil,chap02-c0225,1,Expressões,"Apresenta um erro semântico causado por esquecer a ordem das operações, reforçando por que os parênteses podem ser necessários."
Q03,Como criar uma variável e atribuir um valor a ela em Python?,facil,chap02-c0139,2,Variáveis,Define variável como um nome que se refere a um valor e informa que uma variável é criada por uma instrução de atribuição.
Q03,Como criar uma variável e atribuir um valor a ela em Python?,facil,chap02-c0141,2,Variáveis,"Explica a estrutura de uma atribuição: nome da variável à esquerda, sinal de igual e expressão à direita."
Q03,Como criar uma variável e atribuir um valor a ela em Python?,facil,chap02-c0145,2,Variáveis,Explica que executar uma atribuição faz o Python criar a variável e associá-la a um valor.
Q04,Quais nomes podem ou não ser usados como nomes de variáveis em Python?,facil,chap02-c0157,2,Nomes de variáveis,"Explica as regras gerais para nomes de variáveis: podem conter letras e números, mas não podem começar com número, além de comentar a convenção de minúsculas."
Q04,Quais nomes podem ou não ser usados como nomes de variáveis em Python?,facil,chap02-c0159,2,Nomes de variáveis,Mostra que um nome iniciado por número é ilegal em Python.
Q04,Quais nomes podem ou não ser usados como nomes de variáveis em Python?,facil,chap02-c0161,2,Nomes de variáveis,"Mostra que class é um nome ilegal para variável, introduzindo o problema das palavras-chave reservadas."
Q04,Quais nomes podem ou não ser usados como nomes de variáveis em Python?,facil,chap02-c0163,2,Nomes de variáveis,Explica que palavras-chave têm significado especial na linguagem e não podem ser usadas como nomes de variáveis.
Q04,Quais nomes podem ou não ser usados como nomes de variáveis em Python?,facil,chap02-c0166,2,Nomes de variáveis,Explica que ambientes de desenvolvimento normalmente destacam palavras-chave e ajudam a identificar tentativas de usá-las como variáveis.
Q05,Como definir uma nova função com def e depois chamá-la?,facil,chap03-c0244,3,Definindo novas funções,Define o que é uma definição de função e explica que ela especifica o nome da função e as instruções executadas quando ela é chamada.
Q05,Como definir uma nova função com def e depois chamá-la?,facil,chap03-c0246,3,Definindo novas funções,"Explica a sintaxe de uma função criada com def, incluindo nome, parênteses, cabeçalho, dois-pontos e corpo indentado."
Q05,Como definir uma nova função com def e depois chamá-la?,facil,chap03-c0248,3,Definindo novas funções,"Explica diretamente que, depois de definida, a nova função pode ser chamada da mesma forma que funções internas."
Q05,Como definir uma nova função com def e depois chamá-la?,facil,chap03-c0260,3,Definindo novas funções,Mostra que uma função já definida pode ser chamada inclusive de dentro de outra função.
Q06,Qual é a relação entre um argumento passado para uma função e seu parâmetro?,facil,chap03-c0251,3,Parâmetros,Introduz argumentos e mostra que funções podem receber um ou mais valores quando são chamadas.
Q06,Qual é a relação entre um argumento passado para uma função e seu parâmetro?,facil,chap03-c0253,3,Parâmetros,"Define parâmetro e explica diretamente que, na chamada da função, o valor do argumento é atribuído ao parâmetro."
Q06,Qual é a relação entre um argumento passado para uma função e seu parâmetro?,facil,chap03-c0255,3,Parâmetros,Reformula a chamada de função como a atribuição do argumento ao parâmetro seguida da execução do corpo.
Q06,Qual é a relação entre um argumento passado para uma função e seu parâmetro?,facil,chap03-c0259,3,Parâmetros,Mostra um exemplo em que o valor de uma variável usada como argumento é atribuído ao parâmetro da função.
Q07,O que significa encapsular um código em uma função e como um parâmetro pode generalizar essa função?,facil,chap04-c0341,4,Encapsulamento e generalização,"Introduz o processo de colocar um trecho de código dentro de uma função, preparando a definição de encapsulamento."
Q07,O que significa encapsular um código em uma função e como um parâmetro pode generalizar essa função?,facil,chap04-c0345,4,Encapsulamento e generalização,"Define encapsulamento e explica seus benefícios, como nomear o código, documentá-lo e facilitar sua reutilização."
Q07,O que significa encapsular um código em uma função e como um parâmetro pode generalizar essa função?,facil,chap04-c0349,4,Encapsulamento e generalização,Define generalização como a adição de parâmetros que tornam uma função aplicável a mais casos.
Q07,O que significa encapsular um código em uma função e como um parâmetro pode generalizar essa função?,facil,chap04-c0376,4,Encapsulamento e generalização,Resume encapsulamento e generalização como etapas de um processo de desenvolvimento usado no capítulo.
Q08,"Como usar if, elif e else para tratar diferentes condições em um programa?",facil,chap05-c0461,5,Instruções if / A cláusula else / Condicionais encadeadas,"Explica que instruções condicionais permitem verificar condições e mudar o comportamento do programa, introduzindo a instrução if."
